--- Outlier Details ---

Outliers in AnnualSalary:
------------------------------------------------------------------
Index      EmployeeNumber  Value          
------------------------------------------------------------------
166        167             331048.0       
167        168             331048.0       
203        204             337475.2       
206        207             338848.0       
222        223             330403.2       
231        232             332129.6       
232        233             337849.6       
248        249             339846.4       
297        298             330944.0       
390        391             335998.4       
421        422             331505.6       
434        435             334272.0       
438        439             336497.6       
451        452             332753.6       
463        464             333363.2       
472        473             333606.4       
473        474             335644.8       
524        525             333793.6       
535        536             331048.0       
560        561             336913.6       
580        581             336809.6       
626        627             334480.0       
634        635             336705.6       
641        642             330174.4       
660        661             338848.0       
665        666             334126.4       
666        667             334916.8       
667        668             332379.2       
669        670             336830.4       
671        672             332712.0       
673        674             337392.0       
683        684             336872.0       
686        687             331328.4       
718        719             338286.4       
754        755             338099.2       
798        799             332878.4       
816        817             336285.6       
835        836             333024.0       
841        842             333148.8       
921        922             332795.2       
956        957             333065.6       
976        977             334729.6       
1012       1013            333710.4       
1045       1046            332483.2       
1050       1051            338681.6       
1063       1064            335748.8       
1081       1082            331401.6       
1127       1128            334084.8       
1154       1155            330320.0       
1163       1164            339721.6       
1191       1192            289883.2       
1213       1214            336976.0       
1223       1224            332982.4       
1233       1234            333273.6       
1257       1258            334563.2       
1279       1280            339680.0       
1287       1288            335291.2       
1296       1297            333689.6       
1319       1320            339742.4       
1321       1322            336622.4       
1332       1333            339950.4       
1344       1345            334376.0       
1362       1363            333321.6       
1374       1375            289820.8       
1385       1386            334916.8       
1386       1387            338952.0       
1388       1389            330382.4       
1399       1400            333731.2       
1426       1427            336033.2       
1434       1435            334584.0       
1436       1437            336747.2       
1438       1439            339763.2       
1440       1441            334209.6       
1453       1454            330049.6       
1489       1490            330444.8       
1521       1522            331172.8       
1601       1602            332774.4       
1609       1610            336684.8       
1613       1614            339534.4       
1620       1621            330028.8       
1621       1622            334688.0       
1655       1656            338473.6       
1659       1660            336331.2       
1664       1665            335291.2       
1680       1681            335291.2       
1701       1702            336040.0       
1702       1703            338806.4       
1712       1713            333384.0       
1718       1719            330236.8       
1780       1781            332817.6       
1805       1806            332171.2       
1810       1811            333330.4       
1812       1813            336747.2       
1834       1835            335936.0       
1837       1838            339680.0       
1854       1855            339680.0       
1859       1860            334979.2       
1873       1874            330340.8       
1908       1909            336497.6       
1913       1914            332296.0       
1939       1940            335145.6       
1960       1961            334230.4       
1966       1967            339825.6       
1982       1983            334729.6       
2002       2003            337516.8       
2021       2022            289966.4       
2033       2034            334792.0       
2066       2067            336372.8       
2072       2073            334708.8       
2089       2090            289966.4       
2092       2093            334064.0       
2097       2098            330216.0       
2140       2141            289924.8       
2179       2180            335644.8       
2188       2189            331776.0       
2190       2191            336726.4       
2213       2214            331172.8       
2226       2227            336285.6       
2228       2229            332462.4       
2230       2231            333384.0       
2259       2260            334105.6       
2271       2272            333585.6       
2302       2303            331464.0       
2325       2326            333128.0       
2327       2328            337995.2       
2329       2330            333342.4       
2334       2335            333980.8       
2336       2337            339160.0       
2340       2341            332795.2       
2341       2342            335790.4       
2371       2372            337017.6       
2395       2396            333502.4       
2400       2401            338785.6       
2418       2419            332753.6       
2477       2478            333398.4       
2480       2481            333065.6       
2487       2488            335624.0       
2503       2504            338827.2       
2522       2523            331443.2       
2545       2546            335083.2       
2550       2551            332712.0       
2552       2553            332753.6       
2578       2579            339846.4       
